Recording,Task,Participant,AOI,AOI_No,Duration_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations,Regression-path_duration,Re-reading_duration
p134_1,1,p134,copilot,AOI_3,1001801,Return,92325,330,67,2558,280,65010,108,code pane,3.71216,89208,328,67,2558,272,65010,108,3.70229,112075,4151,83,21758,27,65010,283,112975,4184,125,21808,27,64952,342,16,186813,121803,13,186813,121803,220,75510,65293,388.17,548.5,,,,,,,,,,,,,
p134_1,1,p134,project structure,AOI_4,1001801,Return,983,246,183,342,4,65527,192,code pane,3.79797,983,246,183,342,4,65527,192,3.79797,1183,592,183,1000,2,65527,1000,1275,637,233,1042,2,65485,1042,0,,,0,,,0,65485,66527,234.28,189.11,,,,,,,,,,,,,
p134_1,1,p134,stack trace,AOI_5,1001801,Return,9683,285,92,767,34,77285,233,code pane,4.20697,9325,283,92,767,33,77285,233,4.20593,12250,1361,92,5300,9,77285,233,12750,1417,167,5358,9,77252,267,2,962833,885548,2,962833,885548,19,77252,77518,231.31,233.89,,,,,,,,,,,,,
p134_2,2,p134,chat,AOI_1,978098,Backspace,14346,378,75,1683,38,277161,75,code pane,3.73195,13687,391,75,1683,35,277161,75,3.72781,40754,3705,367,26958,11,277161,1125,41100,3736,417,26958,11,277161,1125,3,277996,836,3,277996,836,22,277011,278311,382.75,125.6,,,,,,,,,,,,,
p134_2,2,p134,code pane,AOI_2,978098,Backspace,522137,346,67,6592,1509,196097,971,code pane,3.90616,507561,346,67,6592,1467,197077,142,3.90699,712163,30964,117,142906,23,196097,80888,712904,30996,117,142931,23,196097,80888,189,219837,23739,182,219837,23739,1224,278311,277011,125.6,382.75,,,,,,,,,,,,,
p134_2,2,p134,project structure,AOI_4,978098,Backspace,167,167,167,167,1,976631,167,code pane,3.67724,0,,,,0,,,,167,167,167,167,1,976631,167,200,200,200,200,1,976598,200,0,,,0,,,0,,,,,,,,,,,,,,,,,
p134_2,2,p134,stack trace,AOI_5,978098,Backspace,925,185,117,292,5,300144,117,code pane,4.10066,925,185,117,292,5,300144,117,4.10066,967,322,117,700,3,300144,117,1067,356,117,750,3,300144,117,0,,,0,,,2,300073,300277,125.12,362.26,,,,,,,,,,,,,
p135_1,1,p135,code pane,AOI_2,1115785,Backspace,452328,322,67,5333,1404,175021,250,project structure,5.14323,406044,338,67,5333,1203,175021,250,5.11017,670479,31928,158,178697,21,175021,475,671196,31962,158,178697,21,174929,567,69,181291,6270,69,181291,6270,1021,174929,175496,511.26,491.23,,,,,,,,,,,,,
p135_1,1,p135,copilot,AOI_3,1115785,Backspace,161724,437,67,4117,370,175554,233,project structure,4.84122,154491,430,67,4117,359,175554,233,4.8318,206499,18773,233,159641,11,175554,233,206833,18803,292,159700,11,175496,292,15,690856,515302,15,690856,515302,346,175496,175788,491.23,453.18,,,,,,,,,,,,,
p135_1,1,p135,project structure,AOI_4,1115785,Backspace,1343,269,167,417,5,177513,283,project structure,5.08842,1075,269,167,417,4,177513,283,5.00844,1385,462,268,650,3,177513,467,1526,509,285,717,3,177454,525,0,,,0,,,2,177454,177979,474.26,557.49,,,,,,,,,,,,,
p135_1,1,p135,stack trace,AOI_5,1115785,Backspace,1011,253,117,583,4,174793,136,project structure,5.07895,875,292,117,583,3,176171,583,5.08751,1011,253,117,583,4,174793,136,1086,272,136,617,4,174793,136,0,,,0,,,0,176138,174929,299.95,511.26,,,,,,,,,,,,,
p135_2,2,p135,chat,AOI_1,1002552,[Ctrl] + v,89379,330,67,3325,271,392561,175,chat,5.46758,79137,320,67,3325,247,392561,175,5.45344,117925,4717,67,21967,25,392561,6617,118533,4741,83,21967,25,392536,6642,21,393319,758,19,393319,758,169,400577,443236,87.45,43.51,,,,,,,,,,,,,
p135_2,2,p135,code pane,AOI_2,1002552,[Ctrl] + v,176158,198,43,2425,888,252377,43,chat,5.52003,127276,220,67,2425,578,252786,217,5.48851,609525,30476,133,95242,20,252377,68128,610225,30511,133,95308,20,252377,68128,164,277096,24719,162,277096,24719,322,497527,320505,149.96,132.94,,,,,,,,,,,,,
p135_2,2,p135,project structure,AOI_4,1002552,[Ctrl] + v,625,208,133,300,3,990543,133,chat,5.64594,492,246,192,300,2,1001309,192,5.74397,642,321,133,508,2,990543,133,700,350,133,567,2,990543,133,0,,,0,,,1,1001251,,553.58,,,,,,,,,,,,,,
p135_2,2,p135,stack trace,AOI_5,1002552,[Ctrl] + v,225,113,83,142,2,411886,83,chat,5.5599,0,,,,0,,,,225,113,83,142,2,411886,83,225,113,83,142,2,411886,83,0,,,0,,,0,,706527,,367.35,,,,,,,,,,,,,
p136_1,1,p136,code pane,AOI_2,1222397,Backspace,547159,346,67,5308,1583,284641,265,stack trace,3.77486,526440,343,67,5308,1535,285023,83,3.77384,710247,8557,92,126591,83,284641,1157,712414,8583,117,126591,83,284641,1157,106,291957,7316,105,291957,7316,1400,291989,296989,141.95,386.49,,,,,,,,,,,,,
p136_1,1,p136,copilot,AOI_3,1222397,Backspace,123279,394,67,6817,313,297781,275,stack trace,3.69019,121729,397,67,6817,307,297781,275,3.69094,135921,2614,133,20092,52,297781,3500,137262,2640,133,20092,52,297706,3575,26,543083,245302,26,543083,245302,243,297706,303639,512.75,530.31,,,,,,,,,,,,,
p136_1,1,p136,project structure,AOI_4,1222397,Backspace,38891,533,67,3608,73,290464,117,stack trace,3.67318,38608,552,67,3608,70,344964,358,3.67764,42262,2486,67,15117,17,290464,117,42479,2499,67,15175,17,290464,117,8,739754,449290,8,739754,449290,51,344906,291989,233.49,141.95,,,,,,,,,,,,,
p136_1,1,p136,stack trace,AOI_5,1222397,Backspace,11275,213,67,983,53,285981,125,stack trace,3.86569,10542,220,67,983,48,297056,308,3.86546,13317,888,67,3658,15,285981,125,13783,919,75,3700,15,285964,142,2,701371,415389,2,701371,415389,24,296989,297706,386.49,512.75,,,,,,,,,,,,,
p136_2,2,p136,chat,AOI_1,996670,[Shift] + (,25287,468,67,3221,54,420229,725,code pane,3.60662,24079,472,67,3221,51,420229,725,3.59443,29333,1956,67,7392,15,420229,2750,29692,1979,92,7392,15,420138,2842,2,420878,649,1,420878,649,33,425096,424554,442.74,556.4,,,,,,,,,,,,,
p136_2,2,p136,code pane,AOI_2,996670,[Shift] + (,426620,310,67,2517,1377,327376,162,code pane,3.67387,402532,303,67,2517,1327,327563,133,3.66893,605553,18350,67,161396,33,327376,91612,606495,18379,67,161396,33,327376,91612,87,329727,2351,87,329727,2351,1223,424554,425096,556.4,442.74,,,,,,,,,,,,,
p136_2,2,p136,stack trace,AOI_5,996670,[Shift] + (,12425,327,83,900,38,683046,367,code pane,3.8009,12258,331,83,900,37,683046,367,3.80148,13192,694,100,3508,19,683046,367,13883,731,117,3567,19,683029,383,1,687349,4303,1,687349,4303,17,683029,683412,69.19,616.88,,,,,,,,,,,,,
p137_1,1,p137,code pane,AOI_2,1102685,Space,247633,398,67,2842,622,167405,250,code pane,3.70288,202033,356,67,2787,567,167405,250,3.70827,358229,29852,133,206979,12,167405,392,358662,29888,175,206979,12,167371,425,77,173443,6039,77,173443,6039,487,167371,167796,359.25,360.1,,,,,,,,,,,,,
p137_1,1,p137,copilot,AOI_3,1102685,Space,3058,278,100,667,11,175338,483,code pane,3.90916,2958,296,117,667,10,175338,483,3.91083,3567,1189,483,2583,3,175338,483,3692,1231,500,2658,3,175288,533,0,,,0,,,6,175288,175821,410.09,528.65,,,,,,,,,,,,,
p137_1,1,p137,project structure,AOI_4,1102685,Space,442,221,217,225,2,168988,225,code pane,4.08377,442,221,217,225,2,168988,225,4.08377,458,458,458,458,1,168988,458,517,517,517,517,1,168930,517,0,,,0,,,1,168930,,579.98,,,,,,,,,,,,,,
p137_1,1,p137,stack trace,AOI_5,1102685,Space,3300,254,150,425,13,166213,167,code pane,3.76668,3000,250,150,425,12,166213,167,3.78344,3558,593,192,1508,6,166213,417,3808,635,242,1558,6,166188,442,2,575513,409300,1,575513,409300,6,167005,166630,206.77,197.82,,,,,,,,,,,,,
p137_2,2,p137,chat,AOI_1,1033451,Return,129603,468,67,3492,277,97274,158,chat,3.95424,70162,360,67,2283,195,97274,158,3.95359,226199,6653,117,45008,34,97274,475,226741,6669,133,45008,34,97208,542,11,300233,202959,11,300233,202959,182,97208,97749,489.72,177.17,,,,,,,,,,,,,
p137_2,2,p137,code pane,AOI_2,1033451,Return,197780,430,67,3508,460,96399,175,chat,3.55024,171517,403,67,3208,426,96399,175,3.54368,248939,2284,83,29967,109,96399,808,251285,2305,83,29967,109,96374,833,46,100626,4227,43,100626,4227,294,97924,97208,513.37,489.72,,,,,,,,,,,,,
p137_2,2,p137,project structure,AOI_4,1033451,Return,157883,447,67,3342,353,133874,467,chat,3.73981,138312,436,67,3342,317,133874,467,3.72649,233906,2293,142,28367,102,133874,467,236177,2315,167,28367,102,133849,492,7,397072,263198,4,397072,263198,198,133849,134341,131.53,178.99,,,,,,,,,,,,,
p137_2,2,p137,stack trace,AOI_5,1033451,Return,2125,193,83,483,11,108432,100,chat,3.87103,2125,193,83,483,11,108432,100,3.87103,2200,275,83,533,8,108432,533,2392,299,100,550,8,108416,550,1,824253,715820,1,824253,715820,3,213300,108966,425.95,310.81,,,,,,,,,,,,,
p138_1,1,p138,code pane,AOI_2,1117283,[Ctrl] + c,617780,392,67,4917,1576,169045,192,project structure,5.38677,574218,384,67,4917,1495,169045,192,5.3857,895133,28875,67,473777,31,169045,473777,895966,28902,83,473802,31,169020,473802,76,174827,5781,75,174827,5781,1341,658180,642822,402.44,377.05,,,,,,,,,,,,,
p138_1,1,p138,copilot,AOI_3,1117283,[Ctrl] + c,3400,567,108,2292,6,1096145,2292,project structure,5.29869,3400,567,108,2292,6,1096145,2292,5.29869,3467,867,108,2292,4,1096145,2292,3550,887,108,2292,4,1096145,2292,1,1097708,1563,1,1097708,1563,2,1096053,1098461,279.13,205.16,,,,,,,,,,,,,
p138_1,1,p138,project structure,AOI_4,1117283,[Ctrl] + c,600,150,41,242,4,1115619,242,project structure,5.03046,558,186,150,242,3,1115619,242,5.01578,642,321,233,408,2,1115619,408,700,350,250,450,2,1115578,450,0,,,0,,,2,1115578,1116028,179.37,592.22,,,,,,,,,,,,,
p138_1,1,p138,stack trace,AOI_5,1117283,[Ctrl] + c,21575,348,67,1375,62,642888,192,project structure,5.41642,20617,349,100,1375,59,642888,192,5.41544,24167,1051,100,5133,23,642888,5133,25150,1093,125,5200,23,642822,5200,4,649623,6734,4,649623,6734,34,642822,652263,377.05,98.36,,,,,,,,,,,,,
p138_2,2,p138,chat,AOI_1,985144,Return,69591,417,67,2433,167,46591,192,project structure,5.05559,59141,397,67,2433,149,46591,192,5.05441,77375,1984,75,25858,39,46591,400,78250,2006,75,25875,39,46557,433,7,627681,581091,7,627681,581091,110,46557,46991,334.12,580.93,,,,,,,,,,,,,
p138_2,2,p138,code pane,AOI_2,985144,Return,544280,402,24,10450,1354,45541,24,project structure,5.13666,496793,390,67,10450,1274,45599,150,5.13692,676482,19897,133,505034,34,45541,1016,677670,19931,217,505084,34,45541,1016,43,52245,6704,43,52245,6704,1179,47566,46557,440.64,334.12,,,,,,,,,,,,,
p138_2,2,p138,project structure,AOI_4,985144,Return,1002,167,75,308,6,47074,167,project structure,4.73134,858,172,75,308,5,47074,167,4.63868,1068,267,75,492,4,47074,492,1185,296,100,575,4,46991,575,0,,,0,,,1,46991,47566,580.93,440.64,,,,,,,,,,,,,
p138_2,2,p138,stack trace,AOI_5,985144,Return,1150,230,100,475,5,66365,192,project structure,5.27654,1150,230,100,475,5,66365,192,5.27654,1150,230,100,475,5,66365,192,1308,262,142,475,5,66324,233,0,,,0,,,0,66324,66557,322,256.82,,,,,,,,,,,,,
p139_1,1,p139,code pane,AOI_2,1178153,Return,446906,325,67,2108,1377,253408,314,stack trace,5.53139,344652,314,67,1733,1098,253946,208,5.51948,663547,10208,75,182698,65,253408,2697,664693,10226,92,182698,65,253408,2697,43,261940,8532,39,261940,8532,825,259004,258188,287.64,581.55,,,,,,,,,,,,,
p139_1,1,p139,copilot,AOI_3,1178153,Return,101987,327,67,1975,312,267329,83,stack trace,5.4606,67671,330,67,1842,205,267329,83,5.4581,129854,2951,67,18433,44,267329,400,130804,2973,67,18433,44,267321,408,22,426178,158849,22,426178,158849,156,282129,443187,422.27,293.88,,,,,,,,,,,,,
p139_1,1,p139,project structure,AOI_4,1178153,Return,2133,267,83,500,8,257254,83,stack trace,4.92892,2133,267,83,500,8,257254,83,4.92892,2333,583,300,808,4,257254,417,2400,600,300,867,4,257246,425,0,,,0,,,3,259479,1171492,382.95,103.36,,,,,,,,,,,,,
p139_1,1,p139,stack trace,AOI_5,1178153,Return,17847,330,47,1325,54,264804,100,stack trace,5.58371,14433,321,67,992,45,264804,100,5.55548,21938,844,47,3525,26,264804,100,22363,860,75,3600,26,264771,133,5,684793,419988,5,684793,419988,21,702385,746176,434.46,208.57,,,,,,,,,,,,,
p139_2,2,p139,chat,AOI_1,1011397,Return,160116,432,67,4167,371,80577,192,project structure,5.60985,144749,421,67,4167,344,80577,192,5.60941,241691,3776,83,32817,64,80577,833,243395,3803,83,32817,64,80527,883,24,220748,140171,24,220748,140171,249,80527,292885,453.4,331.34,,,,,,,,,,,,,
p139_2,2,p139,code pane,AOI_2,1011397,Return,419852,423,67,2958,992,67199,153,project structure,5.73223,392904,426,67,2958,923,67594,292,5.73225,576189,9003,67,102508,64,67199,1445,578789,9044,75,102600,64,67199,1445,67,78101,10902,62,78101,10902,736,76485,69694,343.84,571.74,,,,,,,,,,,,,
p139_2,2,p139,project structure,AOI_4,1011397,Return,3725,372,83,1500,10,69752,242,project structure,5.49012,3558,395,83,1500,9,69752,242,5.49051,4125,688,83,2375,6,69752,742,4283,714,100,2375,6,69694,800,0,,,0,,,3,69694,70494,571.74,686.35,,,,,,,,,,,,,
p139_2,2,p139,stack trace,AOI_5,1011397,Return,1450,242,150,317,6,68727,258,project structure,5.39123,1450,242,150,317,6,68727,258,5.39123,1525,381,167,783,4,68727,258,1683,421,175,875,4,68719,267,0,,,0,,,2,995246,68985,440.63,84.29,,,,,,,,,,,,,
p140_1,1,p140,code pane,AOI_2,1074016,[Ctrl] + v,572667,407,67,3717,1408,133870,241,copilot,4.53454,527410,396,67,3717,1331,134161,383,4.53506,780242,20006,108,517672,39,133870,674,781426,20037,117,517713,39,133870,674,110,144479,10609,110,144479,10609,1161,134727,134544,306.32,184.92,,,,,,,,,,,,,
p140_1,1,p140,copilot,AOI_3,1074016,[Ctrl] + v,62371,480,75,3433,130,662074,192,copilot,4.37806,60496,484,75,3433,125,662074,192,4.37835,92087,3542,242,39416,26,662074,650,92866,3572,267,39416,26,662032,692,18,799338,137264,18,799338,137264,96,662032,791048,389.97,365.39,,,,,,,,,,,,,
p140_1,1,p140,project structure,AOI_4,1074016,[Ctrl] + v,2575,257,125,792,10,134569,158,copilot,4.59199,2575,257,125,792,10,134569,158,4.59199,2658,443,158,792,6,134569,158,2917,486,183,792,6,134544,183,0,,,0,,,4,134544,134727,184.92,306.32,,,,,,,,,,,,,
p140_1,1,p140,stack trace,AOI_5,1074016,[Ctrl] + v,19004,422,100,2175,45,135119,192,copilot,4.96874,17871,416,100,2175,43,135119,192,4.97717,21950,3136,192,15217,7,135119,192,22133,3162,208,15242,7,135094,217,2,711395,576276,2,711395,576276,35,135094,135311,202.71,81.55,,,,,,,,,,,,,
p140_2,2,p140,chat,AOI_1,1041776,[Ctrl] + v,85612,448,75,3392,191,323516,325,code pane,4.39118,76675,438,75,3392,175,323516,325,4.37347,140883,3354,200,35142,42,323516,2275,142354,3389,200,35142,42,323433,2358,14,324945,1429,14,324945,1429,136,323433,325791,379.78,376.55,,,,,,,,,,,,,
p140_2,2,p140,code pane,AOI_2,1041776,[Ctrl] + v,359631,492,67,2975,731,303405,1978,code pane,4.37144,330178,481,67,2975,686,305412,137,4.37621,488268,11909,75,79150,41,303405,20028,489893,11949,92,79233,41,303405,20028,117,304337,932,117,304337,932,593,325791,323433,376.55,379.78,,,,,,,,,,,,,
p140_2,2,p140,project structure,AOI_4,1041776,[Ctrl] + v,608,304,133,475,2,1030814,133,code pane,4.62543,608,304,133,475,2,1030814,133,4.62543,667,667,667,667,1,1030814,667,667,667,667,667,1,1030814,667,0,,,0,,,1,1030730,1031497,140.41,116.25,,,,,,,,,,,,,
p140_2,2,p140,stack trace,AOI_5,1041776,[Ctrl] + v,542,181,150,200,3,466582,192,code pane,4.50406,392,196,192,200,2,466582,192,4.55539,1550,775,192,1358,2,466582,192,1650,825,258,1391,2,466516,258,0,,,0,,,0,466516,466774,491.99,121.57,,,,,,,,,,,,,
p141_1,1,p141,code pane,AOI_2,1088886,Space,433960,352,67,4233,1234,331345,443,project structure,5.28195,424217,351,67,4233,1208,331830,317,5.28095,533431,10065,158,70842,53,331345,70842,535565,10105,183,70842,53,331345,70842,76,345513,14168,76,345513,14168,1051,422062,402187,411.07,430.39,,,,,,,,,,,,,
p141_1,1,p141,copilot,AOI_3,1088886,Space,123320,365,67,5075,338,402587,175,project structure,5.18739,121204,364,67,5075,333,402587,175,5.18834,163591,6059,67,38858,27,402587,808,164958,6110,75,38925,27,402479,917,10,548231,145644,10,548231,145644,279,406037,403395,533.51,494.71,,,,,,,,,,,,,
p141_1,1,p141,project structure,AOI_4,1088886,Space,9226,401,59,1525,23,762035,217,project structure,5.12693,9167,417,133,1525,22,762035,217,5.1263,9643,1607,200,8367,6,762035,217,9901,1650,242,8408,6,761985,267,0,,,0,,,17,761985,762252,541,321.27,,,,,,,,,,,,,
p141_1,1,p141,stack trace,AOI_5,1088886,Space,20812,224,67,883,93,402254,175,project structure,5.36849,20212,225,75,883,90,402254,175,5.3645,25721,919,92,3667,28,402254,175,26788,957,108,3726,28,402187,242,8,443248,40994,8,443248,40994,50,402187,421878,430.39,148.55,,,,,,,,,,,,,
p141_2,2,p141,chat,AOI_1,1011392,Space,161694,307,67,3646,527,189343,833,code pane,5.21853,129502,285,67,3108,454,189343,833,5.18942,231216,2161,75,20552,107,189343,833,234837,2195,83,20627,107,189343,833,24,189862,519,24,189862,519,230,189218,190193,412.38,261.42,,,,,,,,,,,,,
p141_2,2,p141,code pane,AOI_2,1011392,Space,500109,338,66,2983,1479,71779,240,code pane,5.1252,491543,340,66,2983,1446,72060,158,5.126,597643,6225,83,104075,96,71779,1823,600722,6258,133,104091,96,71779,1823,125,80127,8348,122,80127,8348,1249,74127,73602,475.64,456.16,,,,,,,,,,,,,
p141_2,2,p141,project structure,AOI_4,1011392,Space,708,177,158,225,4,75419,158,code pane,5.05175,708,177,158,225,4,75419,158,5.05175,708,177,158,225,4,75419,158,892,223,167,267,4,75344,233,0,,,0,,,0,75344,78419,436.74,43.67,,,,,,,,,,,,,
p141_2,2,p141,stack trace,AOI_5,1011392,Space,21667,206,67,1300,105,73677,158,code pane,5.22881,20000,204,67,1300,98,73677,158,5.23119,28867,1375,108,7525,21,73677,158,29583,1409,117,7567,21,73602,233,11,540340,466663,11,540340,466663,39,73602,73835,456.16,142.86,,,,,,,,,,,,,
p142_1,1,p142,code pane,AOI_2,1128208,Return,530085,377,67,3783,1405,190401,367,project structure,4.98298,503764,371,67,2442,1357,190401,367,4.98191,734189,18825,133,173291,39,190401,367,735922,18870,133,173291,39,190326,442,169,197226,6825,167,197226,6825,1225,190326,190768,545.68,282.44,,,,,,,,,,,,,
p142_1,1,p142,copilot,AOI_3,1128208,Return,139087,424,67,5158,328,199393,708,project structure,4.89501,137420,427,83,5158,322,199393,708,4.89235,155516,5184,183,39825,30,199393,708,156724,5224,183,39883,30,199359,742,12,664879,465486,10,664879,465486,277,199359,200101,164.72,325.32,,,,,,,,,,,,,
p142_1,1,p142,project structure,AOI_4,1128208,Return,1600,320,108,900,5,195176,133,project structure,5.0756,1600,320,108,900,5,195176,133,5.0756,1667,417,133,1075,4,195176,133,1808,452,175,1075,4,195134,175,0,,,0,,,1,195134,195309,373.66,154.79,,,,,,,,,,,,,
p142_1,1,p142,stack trace,AOI_5,1128208,Return,22937,294,67,1675,78,190826,242,project structure,5.17818,21887,292,67,1675,75,190826,242,5.18058,27696,2308,108,13700,12,190826,808,28175,2348,150,13708,12,190768,867,5,479832,289006,5,479832,289006,59,190768,191634,282.44,125.44,,,,,,,,,,,,,
p142_2,2,p142,chat,AOI_1,1007599,[Ctrl] + s,2770,198,29,450,14,324795,383,chat,5.14444,2742,211,117,450,13,324795,383,5.14551,3004,501,275,875,6,324795,383,3479,580,333,942,6,324728,450,0,,,0,,,8,324728,325178,494.43,473.9,,,,,,,,,,,,,
p142_2,2,p142,code pane,AOI_2,1007599,[Ctrl] + s,565927,344,67,4717,1643,291362,396,chat,5.05655,551969,342,67,4717,1616,291362,396,5.05559,691507,53193,100,332383,13,291362,28083,692140,53242,158,332433,13,291362,28083,143,293760,2398,142,310399,19038,1460,291270,323745,282.32,433.08,,,,,,,,,,,,,
p142_2,2,p142,project structure,AOI_4,1007599,[Ctrl] + s,5472,421,5,1700,13,288257,5,chat,5.07686,3767,342,150,875,11,290162,342,5.12325,5838,1946,1183,3013,3,288257,3013,5913,1971,1225,3013,3,288257,3013,0,,,0,,,9,996960,291270,425.32,282.32,,,,,,,,,,,,,
p142_2,2,p142,stack trace,AOI_5,1007599,[Ctrl] + s,11475,280,100,825,41,319645,683,chat,5.25389,11475,280,100,825,41,319645,683,5.25389,13642,1516,417,2733,9,319645,2617,14100,1567,450,2808,9,319595,2667,3,320015,371,3,320015,371,29,323745,322261,433.08,333.53,,,,,,,,,,,,,
p143_1,1,p143,code pane,AOI_2,1005478,Backspace,608381,307,67,3242,1984,68646,75,project structure,5.74154,579906,307,67,3242,1890,68646,75,5.72522,837491,22635,125,473629,37,68646,442,838674,22667,175,473670,37,68571,517,88,75366,6721,88,75366,6721,1637,70204,69087,372.87,485.71,,,,,,,,,,,,,
p143_1,1,p143,copilot,AOI_3,1005478,Backspace,41587,267,67,1329,156,82362,358,project structure,5.94379,35883,276,67,1329,130,82362,358,5.9208,70633,2717,100,17542,26,82362,358,71433,2747,175,17567,26,82312,408,7,821545,739183,6,821545,739183,84,82312,82721,337.06,367.93,,,,,,,,,,,,,
p143_1,1,p143,project structure,AOI_4,1005478,Backspace,2300,209,117,367,11,70471,258,project structure,5.56643,2300,209,117,367,11,70471,258,5.56643,2417,403,208,583,6,70471,542,2717,453,242,617,6,70412,600,0,,,0,,,5,70412,71012,377.08,499.47,,,,,,,,,,,,,
p143_1,1,p143,stack trace,AOI_5,1005478,Backspace,1933,215,133,458,9,69421,175,project structure,5.10587,1933,215,133,458,9,69421,175,5.10587,1992,332,133,667,6,69421,358,2275,379,200,708,6,69346,433,0,,,0,,,3,69346,69779,466.38,119.38,,,,,,,,,,,,,
p143_2,2,p143,chat,AOI_1,1203537,[Ctrl] + z,94408,223,67,3133,424,271813,83,code pane,5.79374,79429,218,67,3133,364,271813,83,5.77992,150196,2731,167,16775,55,271813,433,152671,2776,250,16775,55,271704,542,13,454795,182982,13,454795,182982,204,275404,272246,193.21,489.11,,,,,,,,,,,,,
p143_2,2,p143,code pane,AOI_2,1203537,[Ctrl] + z,551825,311,67,5008,1773,259931,148,code pane,5.77437,511601,307,67,4192,1664,260129,217,5.76183,713405,11507,83,134625,62,259931,1282,716263,11553,117,134683,62,259931,1282,124,263852,3921,124,263852,3921,1401,262596,261213,398.26,381.55,,,,,,,,,,,,,
p143_2,2,p143,project structure,AOI_4,1203537,[Ctrl] + z,2000,250,158,350,8,261563,300,code pane,5.39677,2000,250,158,350,8,261563,300,5.39677,2108,703,325,1033,3,261563,1033,2267,756,367,1092,3,261504,1092,0,,,0,,,5,261504,262596,400.27,398.26,,,,,,,,,,,,,
p143_2,2,p143,stack trace,AOI_5,1203537,[Ctrl] + z,1725,246,125,575,7,277938,150,code pane,5.56565,1600,267,142,575,6,277938,150,5.55256,1800,600,125,1083,3,277938,1083,1950,650,183,1150,3,277871,1150,0,,,0,,,4,277871,279021,348.22,238.04,,,,,,,,,,,,,
p144_1,1,p144,code pane,AOI_2,1139943,Return,505189,336,67,3317,1504,207117,159,copilot,5.49116,489822,336,67,3317,1459,207318,208,5.48671,771054,22678,142,171414,34,207117,409,772679,22726,142,171481,34,207117,409,190,213256,6138,188,213256,6138,1260,208935,207527,416.45,282.85,,,,,,,,,,,,,
p144_1,1,p144,copilot,AOI_3,1139943,Return,96720,413,67,3400,234,214960,200,copilot,5.47098,93412,408,67,3400,229,214960,200,5.45969,111837,3608,167,31650,31,214960,200,113087,3648,200,31716,31,214910,250,7,618972,404012,7,618972,404012,177,214910,216735,456.58,409.07,,,,,,,,,,,,,
p144_1,1,p144,project structure,AOI_4,1139943,Return,900,300,200,467,3,211243,233,copilot,4.62308,900,300,200,467,3,211243,233,4.62308,917,458,233,683,2,211243,233,1017,508,258,758,2,211218,258,0,,,0,,,1,218585,211477,369.61,63.37,,,,,,,,,,,,,
p144_1,1,p144,stack trace,AOI_5,1139943,Return,8017,286,67,1492,28,207568,342,copilot,5.38749,7942,294,67,1492,27,207568,342,5.38778,10100,1122,67,3525,9,207568,1367,10417,1157,75,3550,9,207527,1408,2,704731,497163,2,704731,497163,15,207527,208935,282.85,416.45,,,,,,,,,,,,,
p144_2,2,p144,chat,AOI_1,986336,[Ctrl] + v,50325,342,67,2558,147,47851,67,project structure,5.48986,45962,328,67,2558,140,47851,67,5.49927,85020,2362,67,13683,36,47851,217,86499,2403,67,13717,36,47826,242,9,229671,181820,9,229671,181820,91,228942,48068,317.19,636.71,,,,,,,,,,,,,
p144_2,2,p144,code pane,AOI_2,986336,[Ctrl] + v,589737,417,67,14617,1415,47095,132,project structure,5.50981,549672,407,67,14617,1350,47276,333,5.50527,803407,18259,92,122199,44,47095,607,805549,18308,142,122308,44,47095,607,186,54705,7610,186,54705,7610,1151,48660,48801,360.56,452.63,,,,,,,,,,,,,
p144_2,2,p144,project structure,AOI_4,986336,[Ctrl] + v,1483,212,83,342,7,48843,150,project structure,5.27675,1483,212,83,342,7,48843,150,5.27675,1542,385,167,750,4,48843,442,1708,427,183,800,4,48801,483,0,,,0,,,3,48801,49285,452.63,393.51,,,,,,,,,,,,,
p144_2,2,p144,stack trace,AOI_5,986336,[Ctrl] + v,3033,303,83,1725,10,48326,142,project structure,5.36003,3033,303,83,1725,10,48326,142,5.36003,3408,568,108,1725,6,48326,142,3567,594,108,1750,6,48301,167,0,,,0,,,3,48301,48468,112.43,79.33,,,,,,,,,,,,,
