Recording,Task,Participant,AOI,AOI_No,Duration_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations,Regression-path_duration,Re-reading_duration
p107_2,2,p107,code pane,AOI_2,1011340,e,426216,359,63,3350,1188,225842,772,code pane,4.79041,370399,360,63,3350,1030,226638,1292,4.78683,650561,17583,67,128325,37,225842,32380,651748,17615,125,128358,37,225842,32380,167,226421,579,167,226421,579,911,276846,258221,153.29,389.18,,,,,,,,,,,,,
p107_2,2,p107,project struture,AOI_4,1011340,e,18529,529,67,2450,35,275088,392,code pane,4.54507,16812,494,67,2450,34,275088,392,4.55354,19725,1644,217,5925,12,275088,1750,20012,1668,267,5971,12,275088,1750,0,,,0,,,22,274988,276846,246.16,153.29,,,,,,,,,,,,,
p107_2,2,p107,stack trace,AOI_5,1011340,e,39871,539,75,4571,74,258263,500,code pane,5.06559,37500,543,75,4571,69,258263,500,5.06898,49354,3525,133,30838,14,258263,500,49896,3564,200,30888,14,258221,542,5,258604,341,5,258604,341,46,258221,326004,389.18,390.87,,,,,,,,,,,,,
p108_1,1,p108,code pane,AOI_2,1011530,r,518588,306,67,2442,1692,208430,965,project structure,4.78294,488793,306,67,2442,1597,209412,2425,4.77619,636459,16319,67,160983,39,208430,72003,637692,16351,67,160983,39,208430,72003,356,224024,15594,356,224024,15594,1517,283609,280450,200.35,162.16,,,,,,,,,,,,,
p108_1,1,p108,copilot,AOI_3,1011530,r,25271,414,67,2117,61,415924,233,project structure,4.66588,21921,406,108,2117,54,415924,233,4.62845,31925,2902,233,11742,11,415924,233,32308,2937,317,11825,11,415841,317,3,616877,200953,3,616877,200953,44,415841,619315,469.58,466.38,,,,,,,,,,,,,
p108_1,1,p108,project structure,AOI_4,1011530,r,18754,447,79,2017,42,455874,183,project structure,4.81556,18525,452,79,2017,41,455874,183,4.81059,21075,2634,158,8025,8,455874,450,21312,2664,175,8025,8,455816,508,3,719277,263403,3,719277,263403,34,455816,456324,323.4,377.67,,,,,,,,,,,,,
p108_1,1,p108,stack trace,AOI_5,1011530,r,19946,262,75,875,76,280584,167,project structure,4.81715,17987,268,75,875,67,280584,167,4.81166,23142,1286,183,4058,18,280584,3000,23883,1327,242,4175,18,280584,3000,13,280776,192,13,280776,192,53,280450,283609,162.16,200.35,,,,,,,,,,,,,
p108_2,2,p108,chat,AOI_1,1010390,[Ctrl] + c,138740,434,67,5975,320,356380,217,chat,4.94542,133183,430,67,5975,310,356380,217,4.93783,157631,2252,92,19967,70,356380,975,161306,2304,92,19967,70,356346,1008,18,356947,567,17,356947,567,230,358621,362205,506.17,414.54,,,,,,,,,,,,,
p108_2,2,p108,code pane,AOI_2,1010390,[Ctrl] + c,413494,339,67,3792,1219,288194,103,chat,4.74856,381258,333,67,2933,1144,288305,175,4.73718,483656,5827,75,101350,83,288194,68036,487260,5871,75,101450,83,288194,68036,283,347067,58873,282,347067,58873,1042,362205,358621,414.54,506.17,,,,,,,,,,,,,
p108_2,2,p108,project structure,AOI_4,1010390,[Ctrl] + c,3258,296,125,492,11,588454,367,chat,4.75259,3258,296,125,492,11,588454,367,4.75259,3517,586,183,1392,6,588454,708,3825,638,192,1433,6,588404,758,0,,,0,,,5,588404,589163,203.48,338.86,,,,,,,,,,,,,
